Kod_TERYT;nazwa_samorządu;Województwo;Powiat;typ_JST;nazwa_urzędu_JST;miejscowość;Kod pocztowy;poczta;Ulica;Nr domu;telefon-kierunkowy;telefon;wewnętrzny;fax-kierunkowy;FAX;stanowisko;Imię;Nazwisko;ogólny adres mail'owy gminy/powiatu/województwa;adres www jednostki;Kategoria gminy
3017052;Przygodzice;wielkopolskie;ostrowski;GW;Urząd Gminy Przygodzice;Przygodzice;63-421;Przygodzice;Pl. Powstańców Wielkopolskich ;2;(62);592-77-22;;(62);592-70-00;Wójt;Krzysztof ;Rasiak;ugp@przygodzice.pl;www.przygodzice.pl;1
3007093;Stawiszyn;wielkopolskie;kaliski;GMW;Urząd Gminy i Miasta w Stawiszynie;Stawiszyn;62-820;Stawiszyn;ul. Szosa Pleszewska;3;(62);752-80-79;;(62);752-80-97;Burmistrz;Justyna;Urbaniak;sekretariat@stawiszyn.ugim.gov.pl;www.stawiszyn.ugim.gov.pl;1
3021143;Stęszew;wielkopolskie;poznański;GMW;Urząd Miejski Gminy Stęszew;Stęszew;62-060;Stęszew;ul. Poznańska ;11;(61);819-71-22;;(61);813-42-87;Burmistrz;Włodzimierz;Pinczak;urzadgminy@steszew.pl;www.steszew.pl;1
3001053;Szamocin;wielkopolskie;chodzieski;GMW;Urząd Miasta i Gminy Szamocin;Szamocin;64-820;Szamocin;Plac Wolności;19;(67);284-80-03;12;(67);284-80-65;Burmistrz;Eugeniusz;Kucner;burmistrz@gminaszamocin.pl;http://www.gminaszamocin.pl/;1
3012052;Rozdrażew;wielkopolskie;krotoszyński;GW;Urząd Gminy Rozdrażew;Rozdrażew;63-708;Rozdrażew;Rynek;3;(62);722-13-05;;(62);722-13-70;Wójt;Mariusz;Dymarski;sekretariat@rozdrazew.pl;www.rozdrazew.pl;1
3008062;Rychtal;wielkopolskie;kępiński;GW;Urząd Gminy Rychtal;Rychtal;63-630;Rychtal;Rynek;1;(62);781-68-02;;(62);781-68-05;Wójt;Czesław;Balcerzak;ugrychtal@wp.pl;www.rychtal.pl;1
3016032;Ryczywół;wielkopolskie;obornicki;GW;Urząd Gminy Ryczywół;Ryczywół;64-630;Ryczywół;ul. Mickiewicza;10;(67);283-70-02;;(67);283-70-02;Wójt;Renata;Gembiak-Binkiewicz;ug@ryczywol.pl;www.ryczywol.pl;1
3010082;Rzgów;wielkopolskie;koniński;GW;Urząd Gminy Rzgów;Rzgów;62-586;Rzgów;ul. Konińska;8;(63);241-90-18;23;(63);241-97-90;Wójt;Grzegorz;Matuszak;ug@gminarzgow.pl;www.gminarzgow.pl;1
3029022;Siedlec;wielkopolskie;wolsztyński;GW;Urząd Gminy Siedlec;Siedlec;64-212;Siedlec;ul.Zbąszyńska;17;(68);384-85-21;;(68);384-84-73;Wójt;Jacek;Kolesiński;ug@siedlec.pl;www.siedlec.pl;1
3024073;Szamotuły;wielkopolskie;szamotulski;GMW;Urząd Miasta i Gminy Szamotuły;Szamotuły;64-500;Szamotuły;ul. Dworcowa;26;(61);292-75-01;;(61);292-00-72;Burmistrz;Włodzimierz;Kaczmarek;umig@szamotuly.pl;www.szamotuly.pl;1
3017072;Sieroszewice;wielkopolskie;ostrowski;GW;Urząd Gminy Sieroszewice;Sieroszewice;63-405;Sieroszewice;ul. Ostrowska;65;(62);739-60-76;;(62);739-64-56;Wójt;Czesław;Berkowski;sieroszewice@sieroszewice.pl;www.sieroszewice.pl;1
3023062;Słupca;wielkopolskie;słupecki;GW;Urząd Gminy Słupca;Słupca;62-400;Słupca;ul. Sienkiewicza;16;(63);274-36-76;;(63);274-36-76 wew. 44;Wójt;Grażyna;Kazuś;sekretariat@gmina.slupca.pl;www.gmina.slupca.pl;1
3011053;Śmigiel;wielkopolskie; kościański;GMW;Urząd Miejski Śmigla;Śmigiel;64-030;Śmigiel;pl. Wojska Polskiego;6;(65);518-01-39;;(65);518-98-23;Burmistrz;Małgorzata;Adamczak;urzadmiejski@smigiel.pl;www.smigiel.pl;1
3025043;Środa Wielkopolska;wielkopolskie;średzki;GMW;Urząd Miejski w Środzie Wielkopolskiej;Środa Wielkopolska;63-000;Środa Wielkopolska;ul. Daszyńskiego;5;(61);286-77-00;;(61);286-77-02;Burmistrz;Wojciech;Ziętkowski;um@sroda.wlkp.pl;www.sroda.wlkp.pl;1
3017082;Sośnie;wielkopolskie;ostrowski;GW;Urząd Gminy Sośnie;Sośnie;63-435;Sośnie;ul. Wielkopolska ;47;(62);739-39-10;;(62);739-39-33;Wójt;Krzysztof ;Bochen;sosnie@sosnie.pl;www.sosnie.pl;1
3010112;Stare Miasto;wielkopolskie;koniński;GW;Urząd Gminy Stare Miasto;Stare Miasto;62-571;Stare Miasto;ul. Główna;16B;(63);241-62-16;;(63);241-65-80;Wójt;Ryszard;Nawrocki;sekretariat@stare-miasto.pl;www.stare-miasto.pl;1
3023072;Strzałkowo;wielkopolskie;słupecki;GW;Urząd Gminy Strzałkowo;Strzałkowo;62-420;Strzałkowo;Aleja Prymasa Wyszyńskiego ;6;(63);275-06-19;;(63);275-02-62;Wójt;Dariusz;Grzywiński;ug@strzalkowo.pl;www.strzalkowo.pl;1
3002073;Trzcianka;wielkopolskie;czarnkowsko-trzcianecki;GMW;Urząd Miejski Trzcianki;Trzcianka;64-980;Trzcianka;ul. Sikorskiego;7;(67);352-73-11;;(67);216-37-50;Burmistrz;Krzysztof;Czarnecki;ratusz@trzcianka.pl;www.trzcianka.pl;1
3003093;Trzemeszno;wielkopolskie;gnieźnieński;GMW;Urząd Miasta i Gminy Trzemeszno;Trzemeszno;62-240;Trzemeszno;ul. Gen. H. Dąbrowskiego;2;(61);415-43-06;;(61);415-43-06;Burmistrz;Krzysztof;Dereziński;sekretariat@trzemeszno.pl;www.trzemeszno.pl;1
3027073;Tuliszków;wielkopolskie; turecki;GMW;Urząd Gminy i Miasta w Tuliszkowie;Tuliszków;62-740;Tuliszków;pl. Powstańców Styczniowych 1863 r.;1;(63);279-31-16;;(63);279-17-61;Burmistrz;Grzegorz ;Ciesielski;sekretariat@tuliszkow.pl;www.tuliszkow.pl;1
3019073;Ujście;wielkopolskie;pilski;GMW;Urząd Miejski w Ujściu;Ujście;64-850;Ujście;pl. Wiosny Ludów;2;(67);284-00-03;;(67);284-01-51;Burmistrz;Roman;Wrotecki;ujscie@ujscie.pl;www.ujscie.pl;1
3019062;Szydłowo;wielkopolskie;pilski;GW;Urząd Gminy Szydłowo;Szydłowo;64-930;Szydłowo;Jaraczewo;2;(67);216-12-35;;(67);216-12-36;Wójt;Dariusz;Chrobak;urzad@szydlowo.pl;www.szydlowo.pl;1
3002083;Wieleń;wielkopolskie;czarnkowsko-trzcianecki;GMW;Urząd Miejski w Wieleniu;Wieleń;64-730;Wieleń;ul. Kościuszki;34;(67);256-10-04;;(67);256-10-21;Burmistrz;Elżbieta;Rybarczyk;wielen_um@wokiss.pl;www.wielen.pl;1
3013052;Święciechowa;wielkopolskie;leszczyński;GW;Urząd Gminy Święciechowa;Święciechowa;64-115;Święciechowa;ul. Ułańska ;4;(65);533-35-10;;(65);529-95-48;Wójt;Marek;Lorych;urzadgminy@swieciechowa.pl;www.swieciechowa.pl;1
3005053;Wielichowo;wielkopolskie;grodziski;GMW;Urząd Miasta i Gminy w Wielichowie;Wielichowo;64-050;Wielichowo;Rynek;10;(61);443-39-15;;(61);443-30-82;Burmistrz;Honorata;Kozłowska;urzad@wielichowo.pl;www.wielichowo.pl;1
3008072;Trzcinica;wielkopolskie;kępiński;GW;Urząd Gminy Trzcinica;Trzcinica;63-620;Trzcinica;ul. Jana Pawła II ;47;(62);781-50-00;;(62);781-50-01;Wójt;Grzegorz;Hadzik;gmina@trzcinica.com.pl;www.trzcinica.com.pl;1
3027082;Turek;wielkopolskie;turecki;GW;Urząd Gminy Turek;Turek;62-700;Turek;ul. Ogrodowa ;4;(63);279-40-70;;(63);279-40-66;Wójt;Karol;Mikołajczyk;ug@gmina.turek.pl;www.gmina.turek.pl;1
3003103;Witkowo;wielkopolskie;gnieźnieński;GMW;Urząd Gminy i Miasta Witkowo;Witkowo;62-230;Witkowo;ul. Gnieźnieńska;1;(63);477-96-93;;(63);477-88-55;Burmistrz;Krzysztof;Szkudlarek;ugim@witkowo.pl;www.witkowo.pl;1
3028072;Wągrowiec;wielkopolskie;wągrowiecki;GW;Urząd Gminy Wągrowiec;Wągrowiec;62-100;Wągrowiec;ul. Cysterska;22;(67);268-08-00;;(67);268-08-03;Wójt;Przemysław;Majchrzak;wagrow@wokiss.pl;http://www.gminawagrowiec.pl/;1
3013062;Wijewo;wielkopolskie;leszczyński;GW;Urząd Gminy Wijewo;Wijewo;64-150;Wijewo;ul. Parkowa ;1;(65);549-40-86;;(65);549-47-55;Wójt;Ireneusz;Zając;wijewo@wijewo.pl;www.wijewo.pl;1
3027092;Władysławów;wielkopolskie;turecki;GW;Urząd Gminy Władysławów;Władysławów;62-710;Władysławów;Rynek;43;(63);279-50-03;;(63);280-46-67;Wójt;Krzysztof ;Zając;ug@wladyslawow.pl;www.wladyslawow.pl;1
3024083;Wronki;wielkopolskie;szamotulski;GMW;Urząd Miasta i Gminy Wronki;Wronki;64-510;Wronki;ul. Ratuszowa;5;(67);254-53-00;;(67);254-53-28;Burmistrz;Mirosław ;Wieczór;poczta@wronki.pl;www.wronki.pl;1
3013072;Włoszakowice;wielkopolskie;leszczyński;GW;Urząd Gminy Włoszakowice;Włoszakowice;64-140;Włoszakowice;ul. Kurpińskiego;29;(65);525-29-99;;(65);537-01-06;Wójt;Stanisław;Waligóra;gmina@wloszakowice.pl;www.wloszakowice.pl;1
3030053;Września;wielkopolskie;wrzesiński;GMW;Urząd Miasta i Gminy Września;Września;62-300;Września;ul. Ratuszowa;1;(61);640-40-50;;(61);640-40-44;Burmistrz;Tomasz;Kałużny;wrzesnia@wrzesnia.pl;www.wrzesnia.pl;1
3019083;Wyrzysk;wielkopolskie;pilski;GMW;Urząd Miejski w Wyrzysku;Wyrzysk;89-300;Wyrzysk;ul. Bydgoska ;29;(67);286-24-00;;(67);286-26-26;Burmistrz;Bogusława;Jagodzińska;urzad@wyrzysk.pl;www.wyrzysk.pl;1
3015063;Zbąszyń;wielkopolskie;nowotomyski;GMW;Urząd Miejski w Zbąszyniu;Zbąszyń;64-360;Zbąszyń;ul. Żwirki;1;(68);384-60-09;314;(68);384-60-10;Burmistrz;Paweł;Kurasiński;urzad@zbaszyn.pl;www.zbaszyn.pl;1
3012063;Zduny;wielkopolskie;krotoszyński;GMW;Urząd Gminy i Miasta w Zdunach;Zduny;63-760;Zduny;Rynek;2;(62);721-50-01;;(62);721-52-43;Burmistrz;Tomasz;Chudy;zduny@zduny.pl;www.zduny.pl;1
3031072;Zakrzewo;wielkopolskie;złotowski;GW;Urząd Gminy Zakrzewo;Zakrzewo;77-424;Zakrzewo;ul. Kujańska ;5;(67);266-70-75;;(67);266-73-71;Wójt;Henryk;Dobrosielski;ug_zakrzewo@pro.onet.pl;www.zakrzewo.org.pl;1
3006043;Żerków;wielkopolskie;jarociński;GMW;Urząd Miasta i Gminy w Żerkowie;Żerków;63-210;Żerków;ul. Mickiewicza;5;(62);740-30-24;;(62);740-36-27;Burmistrz;Jacek;Jędraszczyk;sekretariat@zerkow.pl;www.zerkow.pl;1
3025052;Zaniemyśl;wielkopolskie;średzki;GW;Urząd Gminy Zaniemyśl;Zaniemyśl;63-020;Zaniemyśl;ul. Średzka;9;(61);285-75-80;;(61);285-74-74;Wójt;Krzysztof ;Urbas;sekretariat@zaniemysl.pl;www.zaniemysl.pl;1
3031082;Złotów;wielkopolskie;złotowski;GW;Urząd Gminy Złotów;Złotów;77-400;Złotów;ul. Leśna;7;(67);263-25-37;11;(67);263-53-05;Wójt;Piotr;Lach;zlotow@gminazlotow.pl;www.gminazlotow.pl;1
3007112;Żelazków;wielkopolskie;kaliski;GW;Urząd Gminy Żelazków;Żelazków;62-817;Żelazków;Żelazków;138;(62);769-10-08;;(62);769-10-08;Wójt;Sylwiusz;Jakubowski;wojt@zelazkow.pl;www.zelazkow.pl;1
0801022;Bogdaniec;lubuskie;gorzowski;GW;Urząd Gminy Bogdaniec;Bogdaniec;66-450;Bogdaniec;ul. Mickiewicza;45;(95);751-02-10;;(95);751-02-09;Wójt;Krystyna Irena;Pławska;urzad@bogdaniec.pl;www.bogdaniec.pl;1
0801062;Santok;lubuskie;gorzowski;GW;Urząd Gminy Santok;Santok;66-431;Santok;ul. Gorzowska;59;(95);728-75-10;;(95);728-75-11;Wójt;Józef;Ludniewski;urzad@santok.pl;www.santok.pl;1
0802042;Dąbie;lubuskie;krośnieński;GW;Urząd Gminy Dąbie;Dąbie;66-615;Dąbie;ul. Szeroka;4;(68);383-51-48;;(68);383-21-48;Wójt;Krystyna;Bryszewska;gmina@dabie.pl;www.dabie.pl;1
0803063;Trzciel;lubuskie;międzyrzecki;GMW;Urząd Miasta i Gminy w Trzcielu;Trzciel;66-320;Trzciel;ul. Poznańska;22;(95);743-14-00;;(95);743-14-00;Burmistrz;Jarosław Józef;Kaczmarek;urzad@trzciel.pl;www.trzciel.pl;1
0804032;Kolsko;lubuskie;nowosolski;GW;Urząd Gminy Kolsko;Kolsko;67-415;Kolsko;ul. Piastowska;12;(68);352-41-77;;(68);352-43-55;Wójt;Henryk;Matysik;kolsko@tercom.pl;http://www.biuletyn.net/nt-bin/start.asp?podmiot=kolsko/;1
0804072;Otyń;lubuskie;nowosolski;GW;Urząd Gminy Otyń;Otyń;67-106;Otyń;Rynek;1;(68);355-94-00;;(68);355-94-01;Wójt;Barbara;Wróblewska;gmina@otyn.pl;www.otyn.pl;1
0807012;Krzeszyce;lubuskie;sulęciński;GW;Urząd Gminy Krzeszyce;Krzeszyce;66-435;Krzeszyce;ul. Skwierzyńska;16;(95);757-31-61;;(95);757-30-86;Wójt;Stanisław;Peczkajtis;sekretariat@krzeszyce.pl;www.krzeszyce.pl;1
0807043;Sulęcin;lubuskie;sulęciński;GMW;Urząd Miejski w Sulęcinie;Sulęcin;69-200;Sulęcin;ul. Lipowa;18;(95);755-36-01;;(95);755-21-22;Burmistrz;Dariusz;Ejchart;umig@sulecin.pl;www.sulecin.pl;1
0808063;Zbąszynek;lubuskie;świebodziński;GMW;Urząd Miejski w Zbąszynku;Zbąszynek;66-210;Zbąszynek;Rynek;1;(68);384-91-40;;(68);384-94-84;Burmistrz;Wiesław;Czyczerski;urzad@zbaszynek.pl;www.zbaszynek.pl;1
0809013;Babimost;lubuskie;zielonogórski;GMW;Urząd Miejski w Babimoście;Babimost;66-110;Babimost;Rynek;3;(68);351-20-34;;(68);351-20-28;Burmistrz;Bernard;Radny;babimost@babimost.pl;www.babimost.pl;1
0809033;Czerwieńsk;lubuskie;zielonogórski;GMW;Urząd Gminy i Miasta w Czerwieńsku;Czerwieńsk;66-016;Czerwieńsk;Rynek;25;(68);327-80-41;;(68);327-80-91;Burmistrz;Piotr;Iwanus;ugim@czerwiensk.pl;www.czerwiensk.pl;1
0809053;Nowogród Bobrzański;lubuskie;zielonogórski;GMW;Urząd Miejski w Nowogrodzie Bobrzańskim;Nowogród Bobrzański;66-010;Nowogród Bobrzański;ul. Słowackiego;11;(68);329-09-62;;(68);327-66-63;Burmistrz;Paweł;Mierzwiak;now.bobrz.um@post.pl;www.nowogrodbobrz.pl;1
0809072;Świdnica;lubuskie;zielonogórski;GW;Urząd Gminy Świdnica;Świdnica;66-008;Świdnica;ul. Długa;38;(68);327-31-15;;(68);327-31-27;Wójt;Adam Konstanty;Jaskulski;urzadsw@swidnica.zgora.pl;www.swidnica.zgora.pl;1
0809092;Zabór;lubuskie;zielonogórski;GW;Urząd Gminy Zabór;Zabór;66-003;Zabór;ul. Lipowa;15;(68);321-83-00;;(68);321-83-01;Wójt;Robert;Sidoruk;ugzabor@gminazabor.pl;www.gminazabor.pl;1
0810073;Szprotawa;lubuskie;żagański;GMW;Urząd Miejski w Szprotawie;Szprotawa;67-300;Szprotawa;ul. Rynek;45;(68);376-38-11;;(68);376-22-20;Burmistrz;Józef Marcin;Rubacha;ratusz@szprotawa.pl;www.szprotawa.pl;1
0810092;Żagań;lubuskie;żagański;GW;Urząd Gminy Żagań;Żagań;68-100;Żagań;ul. Armii Krajowej;9;(68);377-70-21;;(68);377-23-36;Wójt;Tomasz;Niesłuchowski;urzad@gminazagan.pl;www.gminazagan.pl;1
0811052;Lipinki Łużyckie;lubuskie;żarski;GW;Urząd Gminy Lipinki Łużyckie;Lipinki Łużyckie;68-213;Lipinki Łużyckie;ul. Główna;9;(68);362-62-30;;(68);362-62-41;Wójt;Michał;Morżak;gmina@lipinki-luzyckie.pl;www.lipinki-luzyckie.pl;1
0811063;Lubsko;lubuskie;żarski;GMW;Urząd Miejski w Lubsku;Lubsko;68-300;Lubsko;pl. Wolnosci;1;(68);457-61-08;;(68);457-61-00;Burmistrz;Lech;Jurkowski;sekretariat@lubsko.pl;www.lubsko.pl;1
0811082;Trzebiel;lubuskie;żarski;GW;Urząd Gminy Trzebiel;Trzebiel;68-212;Trzebiel;ul. Żarska;41;(68);375-67-61;;(68);375-67-51;Wójt;Marek;Iwlew;gmina@trzebiel.pl;www.trzebiel.pl;1
0811102;Żary;lubuskie;żarski;GW;Urząd Gminy Żary;Żary;68-200;Żary;Al. Jana Pawła II;6;(68);470-73-00;;(68);470-73-03;Wójt;Leszek Piotr;Mrożek;gminazary@gminazary.pl;www.gminazary.pl;1
0812033;Wschowa;lubuskie;wschowski;GMW;Urząd Miasta i Gminy Wschowa;Wschowa;67-400;Wschowa;Rynek;1;(65);540-86-00;;(65);540-13-40;Burmistrz;Danuta;Patalas;burmistrz@wschowa.pl;www.wschowa.pl;1
1006022;Andrespol;łódzkie;łódzki wschodni;GW;Urząd Gminy Andrespol;Andrespol;95-020;Andrespol;ul. Rokicińska;126;(42);213-24-40;;(42);213-24-34;Wójt;Dariusz;Kubus;ug@andrespol.pl;www.andrespol.pl;1
1012022;Dobryszyce;łódzkie;radomszczański;GW;Urząd Gminy Dobryszyce;Dobryszyce;97-505;Dobryszyce;ul. Wolności;8;(44);681-11-93;;(44);681-10-28;Wójt;Małgorzata Agnieszka;Dzwonek;wojt.dobryszyce.era@gminypolskie.pl;www.dobryszyce.i-bip.pl;1
1412123;Mrozy;mazowieckie;miński;GMW;Urząd Miasta i Gminy Mrozy;Mrozy;05-320;Mrozy;ul. Adama Mickiewicza;35;(25);757-41-90;;(25);757-41-90;Burmistrz;Dariusz;Jaszczuk;gmina@mrozy.pl;www.mrozy.bip.net.pl;1
1611063;Ujazd;opolskie;strzelecki;GMW;Urząd Miejski w Ujeździe;Ujazd;47-143;Ujazd;ul. Sławięcicka;19;(77);463-70-37;;(77);404-87-63;Burmistrz;Tadeusz;Kauch;umig@ujazd.pl;www.ujazd.pl;1
3020033;Dobrzyca;wielkopolskie;pleszewski;GMW;Urząd Miejski Gminy Dobrzyca;Dobrzyca;63-330;Dobrzyca;Rynek;14;(62);741-30-13;;(62);741-30-61;Burmistrz;Jarosław ;Pietrzak;gmina@ugdobrzyca.pl;http://dobrzyca.bazagmin.pl/;1
0206082;Podgórzyn;dolnośląskie;jeleniogórski;GW;Urząd Gminy Podgórzyn;Podgórzyn;58-562;Podgórzyn;ul. Żołnierska;14;(75);762-10-93;;(75);762-10-93;Wójt;Mirosław;Kaleta;gmina@podgorzyn.pl;www.podgorzyn.pl;2
0211022;Lubin;dolnośląskie;lubiński;GW;Urząd Gminy Lubin;Lubin;59-300;Lubin;ul. Władysława Łokietka;6;(76);840-31-00;;(76);840-31-40;Wójt;Tadeusz;Kielan;sekretariat@ug.lubin.pl;http://www.bip.ug-lubin.dolnyslask.pl/;2
0218032;Miękinia;dolnośląskie;średzki;GW;Urząd Gminy Miękinia;Miękinia;55-330;Miękinia;ul. Kościuszki;41;(71);735-92-28;;(71);733-64-00;Wójt;Jan Marian;Grzegorczyn;urzad@miekinia.pl;www.miekinia.pl;2
0220042;Wisznia Mała;dolnośląskie;trzebnicki;GW;Urząd Gminy Wisznia Mała;Wisznia Mała;55-114;Wisznia Mała;ul. Wrocławska;9;(71);312-70-25;;(71);312-70-68;Wójt;Jakub;Bronowicki;ug_wisznia@wiszniamala.pl;www.wiszniamala.pl;2
0223012;Czernica;dolnośląskie;wrocławski;GW;Urząd Gminy Czernica;Czernica;55-003;Czernica;ul. Kolejowa;3;(71);381-39-32;;(71);381-39-32;Wójt;Włodzimierz;Chlebosz;czernica@czernica.pl;www.czernica.iap.pl;2
0223022;Długołęka;dolnośląskie;wrocławski;GW;Urząd Gminy Długołęka;Długołęka;55-095;Mirków;ul. Robotnica;12;(71);323-02-02;;(71);323-02-04;Wójt;Iwona Agnieszka;Łebek;gmina@gmina.dlugoleka.pl;www.gmina.dlugoleka.pl;2
0223052;Kobierzyce;dolnośląskie;wrocławski;GW;Urząd Gminy Kobierzyce;Kobierzyce;55-040;Kobierzyce;al. Pałacowa;1;(71);369-81-30;;(71);311-12-52;Wójt;Ryszard;Pacholik;info@ugk.pl;www.ugk.pl;2
0223083;Siechnice;dolnośląskie;wrocławski;GMW;Urząd Miejski w Siechnicach;Siechnice;55-011;Siechnice;ul. Jana Pawła II;12;(71);391-91-01;;(71);786-09-07;Burmistrz;Milan;Ušák;biuro@umsiechnice.pl;www.siechnice.gmina.pl;2
0403012;Białe Błota;kujawsko-pomorskie;bydgoski;GW;Urząd Gminy Białe Błota;Białe Błota;86-005;Białe Błota;ul. Szubińska;7;(52);323-90-90;;(52);323-90-80;Wójt;Maciej;Kulpa;sekretariat@bialeblota.pl;www.bialeblota.pl;2
0403062;Osielsko;kujawsko-pomorskie;bydgoski;GW;Urząd Gminy Osielsko;Osielsko;86-031;Osielsko;Szosa Gdańska;55A       ;(52);324-18-00;;(52);324-18-03;Wójt;Wojciech;Sypniewski;sekretariat@osielsko.pl;www.osielsko.pl;2
0407042;Inowrocław;kujawsko-pomorskie;inowrocławski;GW;Urząd Gminy Inowrocław;Inowrocław;88-100;Inowrocław;ul. Królowej Jadwigi ;43;(52);355-58-10;;(52);354-04-90;Wójt;Tadeusz;Kacprzak;sekretariat@gminainowroclaw.eu;http://gminainowroclaw.eu/;2
0415042;Lubicz;kujawsko-pomorskie;toruński;GW;Urząd Gminy Lubicz;Lubicz;87-162;Lubicz;ul. Toruńska;21;(56);678-21-00;;(56);678-21-22;Wójt;Marek;Olszewski;info@lubicz.pl;www.lubicz.pl;2
0415072;Obrowo;kujawsko-pomorskie;toruński;GW;Urząd Gminy Obrowo;Obrowo;87-126;Obrowo;ul. Aleja Lipowa;27;(56);678-60-22;;(56);678-60-22 wew. 135;Wójt;Andrzej;Wieczyński;obrowo@obrowo.pl;www.obrowo.pl;2
1006032;Brójce;łódzkie;łódzki wschodni;GW;Urząd Gminy Brójce;Brójce;95-006;Brójce;Brójce;39;(42);214-03-98;;(42);299-69-59;Wójt;Radosław;Agaciak;urzadgminy@brojce.pl;www.brojce.pl;2
1006082;Nowosolna;łódzkie;łódzki wschodni;GW;Urząd Gminy Nowosolna;Nowosolna;92-703;Łódź;Rynek Nowosolny;1;(42);648-41-08;;(42);648-41-19;Wójt;Piotr;Szcześniak;urzad@gminanowosolna.pl ;www.gminanowosolna.pl ;2
1006103;Rzgów;łódzkie;łódzki wschodni;GMW;Urząd Miejski Rzgów;Rzgów;95-030;Rzgów;Plac 500-lecia;22;(42);214-12-10;;(42);214-12-07;Burmistrz;Konrad;Kobus;sekretariat@rzgow.pl;www.rzgow.pl;2
1008042;Dobroń;łódzkie;pabianicki;GW;Urząd Gminy Dobroń;Dobroń;95-082;Dobroń;ul. 11 Listopada;9;(43);677-26-83;;(43);677-26-79;Wójt;Robert;Jarzębak;sekretariat@dobron.ug.gov.pl;www.dobron.ug.gov.pl;2
1008052;Ksawerów;łódzkie;pabianicki;GW;Urząd Gminy Ksawerów;Ksawerów;95-054;Ksawerów;ul. Tadeusza Kościuszki;3h;(42);213-80-50;;(42);213-80-02;Wójt;Adam;Topolski;sekretariat@ksawerow.com;www.ksawerow.bip.cc;2
1008062;Lutomiersk;łódzkie;pabianicki;GW;Urząd Gminy Lutomiersk;Lutomiersk;95-083;Lutomiersk;Pl. Jana Pawła II;11;(43);677-50-11;;(43);677-50-94;Wójt;Tadeusz Zygmunt;Borkowski;ug@lutomiersk.pl;www.lutomiersk.pl;2
1008072;Pabianice;łódzkie;pabianicki;GW;Urząd Gminy Pabianice;Pabianice;95-200;Pabianice;ul. Torowa;21;(42);215-56-52;;(42);213-96-60;Wójt;Henryk;Gajda;gmina@pabianice.gmina.pl;www.pabianice.gmina.pl;2
1206092;Mogilany;małopolskie;krakowski;GW;Urząd Gminy Mogilany;Mogilany;32-031;Mogilany;Rynek;2;(12);270-10-13;;(12);270-16-77;Wójt;Piotr;Piotrowski;gmina@mogilany.pl;www.mogilany.pl;2
1206152;Wielka Wieś;małopolskie;krakowski;GW;Urząd Gminy Wielka Wieś;Wielka Wieś;32-089;Wielka Wieś;ul. Wesoła;48;(12);419-17-01;;(12);419-17-05;Wójt;Tadeusz Bronisław;Wójtowicz;ug@wielka-wies.pl;www.wielka-wies.pl;2
1206172;Zielonki;małopolskie;krakowski;GW;Urząd Gminy Zielonki;Zielonki;32-087;Zielonki;ul. Krakowskie Przedmieście;116;(12);285-08-50;;(12);285-09-50;Wójt;Bogusław;Król;ug@zielonki.pl;www.zielonki.pl;2
1402022;Ciechanów;mazowieckie;ciechanowski;GW;Urząd Gminy Ciechanów;Ciechanów;06-400;Ciechanów;ul. Fabryczna;8;(23);672-26-46;;(23);672-26-46;Wójt;Marek;Kiwit;urzad@gminaciechanow.pl;www.gminaciechanow.pl;2
1405032;Baranów;mazowieckie;grodziski;GW;Urząd Gminy Baranów;Baranów;96-314;Baranów;ul. Armii Krajowej;87;(46);858-13-51;;(46);856-03-24;Wójt;Andrzej;Kolek;gmina@gminabaranow.pl;www.gmina-baranow.pl;2
1405043;Grodzisk Mazowiecki;mazowieckie;grodziski;GMW;Urząd Miejski w Grodzisku Mazowieckim;Grodzisk Mazowiecki;05-825;Grodzisk Mazowiecki;ul. T. Kościuszki;32A;(22);755-51-46;;(22);755-53-27;Burmistrz;Grzegorz;Benedykciński;urzad@grodzisk.pl;www.grodzisk.pl;2
1405052;Jaktorów;mazowieckie;grodziski;GW;Urząd Gminy Jaktorów;Jaktorów;96-313;Jaktorów;ul. Warszawska;33;(46);856-40-26;;(46);855-21-88;Wójt;Maciej;Śliwerski;gmina@jaktorow.pl ;www.jaktorow.pl;2
1405062;Żabia Wola;mazowieckie;grodziski;GW;Urząd Gminy Żabia Wola;Żabia Wola;96-321;Żabia Wola;ul. Główna;3;(46);857-81-81;;(46);857-81-81 wew. 12;Wójt;Halina;Wawruch;urzad@zabiawola.pl;www.zabiawola.pl;2
1408022;Jabłonna;mazowieckie;legionowski;GW;Urząd Gminy Jabłonna;Jabłonna;05-110;Jabłonna;ul. Modlińska;152;(22);767-73-00;;(22);767-73-24;Wójt;Jarosław;Chodorski;urzad@jablonna.pl;www.jablonna.pl;2
1408032;Nieporęt;mazowieckie;legionowski;GW;Urząd Gminy Nieporęt;Nieporęt;05-126;Nieporęt;Pl. Wolności ;1;(22);767-04-00;;(22);767-04-41;Wójt;Sławomir Maciej;Mazur;urzad@nieporet.pl;www.nieporet.pl;2
1408052;Wieliszew;mazowieckie;legionowski;GW;Urząd Gminy Wieliszew;Wieliszew;05-135;Wieliszew;ul. Modlińska;1;(22);782-27-32;kom. 505464212;(22);782-27-32;Wójt;Paweł;Kownacki;gmina@wieliszew.pl;www.wieliszew.pl;2
